id,title,description,category,difficulty,courseUrl
1,Intro to Python,"Learn Python basics: variables, loops, functions, data types",Programming,Beginner,https://example.com/course/1
2,Machine Learning Basics,"Supervised and unsupervised ML concepts, regression, classification",AI,Intermediate,https://example.com/course/2
3,Web Development,"HTML, CSS, JavaScript fundamentals and building static websites",Web,Beginner,https://example.com/course/3
4,Deep Learning,"Neural networks, CNNs, RNNs, and practical deep learning workflows",AI,Advanced,https://example.com/course/4
5,Data Analysis,"Data cleaning, visualization, and pandas for analysis",Data,Intermediate,https://example.com/course/5
6,Intro to Databases,"SQL basics, joins, indexing, and simple DB design",Databases,Beginner,https://example.com/course/6
7,DevOps Essentials,"CI/CD basics, Docker introduction, and deployment workflows",DevOps,Intermediate,https://example.com/course/7
8,Frontend Frameworks,"React.js fundamentals, components, and state management",Web,Intermediate,https://example.com/course/8
9,Algorithms and Data Structures,"Core algorithms and data structures for competitive programming",CS,Intermediate,https://example.com/course/9
10,Software Engineering Principles,"Design patterns, testing, and system design fundamentals",CS,Advanced,https://example.com/course/10
11,Cloud Computing Fundamentals,"Introduction to AWS, Azure, cloud deployment models, and services",Cloud,Beginner,https://example.com/course/11
12,Advanced Java,"Multithreading, concurrency, JVM internals, and performance tuning",Programming,Advanced,https://example.com/course/12
13,Mobile App Development,"Android and iOS app development, UI/UX, and deployment",Mobile,Intermediate,https://example.com/course/13
14,Big Data Analytics,"Hadoop, Spark, distributed data processing, and analytics",Data,Advanced,https://example.com/course/14
15,Cybersecurity Basics,"Network security, encryption, firewalls, and threat detection",Security,Beginner,https://example.com/course/15
16,Blockchain Essentials,"Distributed ledgers, smart contracts, and blockchain applications",Blockchain,Intermediate,https://example.com/course/16
17,Natural Language Processing,"Text mining, sentiment analysis, and NLP with Python",AI,Advanced,https://example.com/course/17
18,UI/UX Design Principles,"User interface and experience design, wireframing, prototyping",Design,Beginner,https://example.com/course/18
19,Agile Project Management,"Scrum, Kanban, agile methodologies, and project delivery",Management,Intermediate,https://example.com/course/19
20,Quantum Computing Intro,"Qubits, quantum gates, and basics of quantum algorithms",Quantum,Advanced,https://example.com/course/20
21,Intro to Python,"Learn Python basics: variables, loops, functions, data types",Programming,Beginner
22,Machine Learning Basics,"Supervised and unsupervised ML concepts, regression, classification",AI,Intermediate
23,Web Development,"HTML, CSS, JavaScript fundamentals and building static websites",Web,Beginner
24,Deep Learning,"Neural networks, CNNs, RNNs, and practical deep learning workflows",AI,Advanced
25,Data Analysis,"Data cleaning, visualization, and pandas for analysis",Data,Intermediate
26,Intro to Databases,"SQL basics, joins, indexing, and simple DB design",Databases,Beginner
27,DevOps Essentials,"CI/CD basics, Docker introduction, and deployment workflows",DevOps,Intermediate
28,Frontend Frameworks,"React.js fundamentals, components, and state management",Web,Intermediate
29,Algorithms and Data Structures,"Core algorithms and data structures for competitive programming",CS,Intermediate
30,Software Engineering Principles,"Design patterns, testing, and system design fundamentals",CS,Advanced
31,Cloud Computing Fundamentals,"Introduction to AWS, Azure, cloud deployment models, and services",Cloud,Beginner
32,Advanced Java,"Multithreading, concurrency, JVM internals, and performance tuning",Programming,Advanced
33,Mobile App Development,"Android and iOS app development, UI/UX, and deployment",Mobile,Intermediate
34,Big Data Analytics,"Hadoop, Spark, distributed data processing, and analytics",Data,Advanced
35,Cybersecurity Basics,"Network security, encryption, firewalls, and threat detection",Security,Beginner
36,Blockchain Essentials,"Distributed ledgers, smart contracts, and blockchain applications",Blockchain,Intermediate
37,Natural Language Processing,"Text mining, sentiment analysis, and NLP with Python",AI,Advanced
38,UI/UX Design Principles,"User interface and experience design, wireframing, prototyping",Design,Beginner
39,Agile Project Management,"Scrum, Kanban, agile methodologies, and project delivery",Management,Intermediate
40,Quantum Computing Intro,"Qubits, quantum gates, and basics of quantum algorithms",Quantum,Advanced
41,Intro to Python,"Learn Python basics: variables, loops, functions, data types",Programming,Beginner
42,Machine Learning Basics,"Supervised and unsupervised ML concepts, regression, classification",AI,Intermediate
43,Web Development,"HTML, CSS, JavaScript fundamentals and building static websites",Web,Beginner
44,Deep Learning,"Neural networks, CNNs, RNNs, and practical deep learning workflows",AI,Advanced
45,Data Analysis,"Data cleaning, visualization, and pandas for analysis",Data,Intermediate
